_id,firstName,lastName,email,role,department,password
b572af98-2bdc-4c2e-974b-4dc443433496,Pamela,Johnson,shellyturner@example.com,employee,,w!6PDOqKdW
b221a185-690e-478a-8942-068ac46dac70,Larry,Stevens,victorblair@example.org,admin,Merchant navy officer,@k7jPma0)z
f0661c93-17fa-46ef-b03a-212916e0ef43,Samantha,Thompson,vancerachel@example.com,admin,"Scientist, research (life sciences)",(9bHRYXx8N
3f8da0bc-4005-421d-9c68-231320bd91d2,Kenneth,Herman,morristammy@example.net,admin,Psychotherapist,%10RX*mjYt
a8f13383-2ef0-411e-94d1-c688ff634f3f,Tyler,Woodard,sandra32@example.net,admin,,Yr1Fk95m_I
0e71d2b6-ae30-4a1f-9d8f-fe8ba201cc6b,Megan,Gutierrez,angelarogers@example.org,employee,,_6S)Qz^o_^
9263d92e-486f-4653-9ad0-567a4dae96e6,Christopher,Contreras,jake09@example.com,admin,Minerals surveyor,D8rU6E1k@*
54a50508-6a9a-4d4d-bf60-4d62cad39706,Rhonda,Henderson,pratttonya@example.com,admin,,^5Dr(hlzA9
c809ab69-15fd-4dfe-82d0-bf103518a11a,Brooke,Blake,meadowskristin@example.org,admin,,3RvYn!yb+7
47a7e55f-b8f1-4b80-8efc-28befd8b7d2b,Kelly,Jones,tommyjones@example.net,employee,,2TH9)9Fm(U
a80ff85b-6c15-41f7-a1d9-b283b7536db3,David,Martin,heidihuff@example.org,admin,Exhibition designer,(^RnpvCoP0
c89eb596-80e1-4d75-954c-2b8dd9ab36d1,Robert,Fox,bmeadows@example.org,employee,Arboriculturist,83XdLBk)*#
a7de20c1-142b-408b-9aea-35d936d130a3,Rhonda,Anderson,lauramccarthy@example.org,employee,"Designer, multimedia",$0qLojb^U)
81750a41-1154-427f-9c84-0dad1e85e0fc,Diana,Allen,cunninghamjose@example.org,admin,Retail banker,3xF7RTpu%a
8935902b-d376-4e57-b4aa-84971e8847b9,Katrina,Hernandez,shaneburns@example.org,employee,Arboriculturist,a0V%#0Jj!z
180c0f2a-12c8-4fc5-8bef-f334c0a4ff7a,Becky,Nixon,brian12@example.com,employee,,Im_8)Tc23o
6465d4b9-d28a-45d3-89be-d516622cc158,Austin,Fisher,diazlaurie@example.com,admin,Careers adviser,@TC4VtWp(7
1ea99fa4-b60a-4dca-9bc6-795ca2e4c509,Jeffery,Baldwin,brett52@example.net,employee,,ck6Q3vnJ+e
ec6b7252-c2cb-4744-8ba6-437dbdeebc46,Kimberly,Castro,ichristian@example.com,employee,Financial planner,4&s933FloL
c4d5f3b7-8190-4e3a-a1ac-e842a1d56ae1,Amy,Smith,jillmartinez@example.net,employee,,H+9(QXgBjc
7cfad1ca-5b34-43e3-95b8-6cb5eb8f14b7,Brian,Watts,leekristin@example.org,admin,Database administrator,4_Z!JjnD)W
084a116f-7fb4-49e2-b3fa-397760b0fe6e,Lucas,Randolph,mitchell86@example.net,admin,Banker,N%7B6^Hu3N
36729e6e-c9f8-4d35-9997-f8935e78c424,Veronica,Carter,lindaherman@example.net,admin,,^596kK3b$)
02c09da1-9778-438a-abfe-a21e99d6876e,Rita,Snow,theodorerobles@example.net,employee,"Designer, interior/spatial",+1bFbw+oR6
1c4df9a1-d7fe-476a-9618-861829e33548,Joseph,Mendez,morrisbrian@example.net,admin,,gsa1UHwZ()
29facdb8-3890-474f-984f-810880c96725,Elizabeth,Taylor,medinacolleen@example.net,admin,,pN)yX4MaAo
f05105a1-0334-4eb9-b2a3-41967a80a6df,Jessica,Thompson,lbenjamin@example.com,employee,Community development worker,1Y%2RbGksm
ad3765c1-6ccb-4e36-9025-cffa435a5501,Ralph,Harrison,tracyalvarez@example.net,admin,,#6&5jmAncA
